"cty","Name","Household_Income_rP_gP_p25"
"cty08113","San Miguel County, CO",43860
"cty51600","Fairfax city, VA",43847
"cty20165","Rush County, KS",43794
"cty31013","Box Butte County, NE",43786
"cty27111","Otter Tail County, MN",43778
"cty38093","Stutsman County, ND",43760
"cty20029","Cloud County, KS",43757
"cty38101","Ward County, ND",43750
"cty20007","Barber County, KS",43749
"cty31155","Saunders County, NE",43735
"cty17085","Jo Daviess County, IL",43725
"cty48285","Lavaca County, TX",43720
"cty08125","Yuma County, CO",43713
"cty20089","Jewell County, KS",43706
"cty30007","Broadwater County, MT",43705
"cty48033","Borden County, TX",43698
"cty46091","Marshall County, SD",43694
"cty51059","Fairfax County, VA",43690
"cty27167","Wilkin County, MN",43657
"cty27085","McLeod County, MN",43578
"cty56003","Big Horn County, WY",43555
"cty27067","Kandiyohi County, MN",43545
"cty19003","Adams County, IA",43494
"cty19025","Calhoun County, IA",43480
"cty29075","Gentry County, MO",43467
"cty20157","Republic County, KS",43464
"cty55049","Iowa County, WI",43460
"cty48137","Edwards County, TX",43423
"cty48333","Mills County, TX",43411
"cty46013","Brown County, SD",43409
"cty31147","Richardson County, NE",43368
"cty27079","Le Sueur County, MN",43367
"cty29087","Holt County, MO",43309
"cty46101","Moody County, SD",43289
"cty34027","Morris County, NJ",43281
"cty39107","Mercer County, OH",43261
"cty08049","Grand County, CO",43237
"cty30107","Wheatland County, MT",43222
"cty20141","Osborne County, KS",43219
"cty19159","Ringgold County, IA",43215
"cty16033","Clark County, ID",43173
"cty25019","Nantucket County, MA",43161
"cty48263","Kent County, TX",43159
"cty19083","Hardin County, IA",43152
"cty27031","Cook County, MN",43130
"cty31083","Harlan County, NE",43104
"cty27105","Nobles County, MN",43048
"cty48317","Martin County, TX",43033
"cty38017","Cass County, ND",43025
"cty55121","Trempealeau County, WI",43002
"cty19121","Madison County, IA",42993
"cty19157","Poweshiek County, IA",42963
"cty27169","Winona County, MN",42951
"cty48165","Gaines County, TX",42937
"cty46081","Lawrence County, SD",42931
"cty27043","Faribault County, MN",42915
"cty27135","Roseau County, MN",42888
"cty19001","Adair County, IA",42886
"cty31073","Gosper County, NE",42885
"cty08115","Sedgwick County, CO",42830
"cty27119","Polk County, MN",42825
"cty25021","Norfolk County, MA",42806
"cty19123","Mahaska County, IA",42798
"cty06075","San Francisco County, CA",42796
"cty20129","Morton County, KS",42793
"cty19041","Clay County, IA",42789
"cty08121","Washington County, CO",42775
"cty56029","Park County, WY",42749
"cty19129","Mills County, IA",42738
"cty55099","Price County, WI",42734
"cty31105","Kimball County, NE",42726
"cty19069","Franklin County, IA",42723
"cty20065","Graham County, KS",42707
"cty19107","Keokuk County, IA",42691
"cty27091","Martin County, MN",42686
"cty30101","Toole County, MT",42627
"cty31145","Red Willow County, NE",42601
"cty48371","Pecos County, TX",42587
"cty20171","Scott County, KS",42561
"cty27161","Waseca County, MN",42553
"cty08103","Rio Blanco County, CO",42551
"cty16051","Jefferson County, ID",42547
"cty27049","Goodhue County, MN",42534
"cty27097","Morrison County, MN",42532
"cty29151","Osage County, MO",42510
"cty31185","York County, NE",42495
"cty55119","Taylor County, WI",42489
"cty40073","Kingfisher County, OK",42488
"cty55029","Door County, WI",42485
"cty08019","Clear Creek County, CO",42477
"cty31033","Cheyenne County, NE",42448
"cty16003","Adams County, ID",42442
"cty19067","Floyd County, IA",42412
"cty30103","Treasure County, MT",42405
"cty51610","Falls Church city, VA",42364
"cty56015","Goshen County, WY",42322
"cty27001","Aitkin County, MN",42306
"cty29147","Nodaway County, MO",42285
"cty30079","Prairie County, MT",42284
"cty20181","Sherman County, KS",42258
"cty17079","Jasper County, IL",42250
"cty19073","Greene County, IA",42240
"cty55109","St. Croix County, WI",42238
"cty18037","Dubois County, IN",42236
"cty19029","Cass County, IA",42230
"cty08021","Conejos County, CO",42221
"cty19173","Taylor County, IA",42184
"cty32011","Eureka County, NV",42112
"cty19169","Story County, IA",42013
"cty08107","Routt County, CO",42007
"cty46129","Walworth County, SD",41980
"cty19059","Dickinson County, IA",41950
"cty27083","Lyon County, MN",41940
"cty41069","Wheeler County, OR",41910
"cty16023","Butte County, ID",41902
"cty46035","Davison County, SD",41884
"cty20197","Wabaunsee County, KS",41884
"cty53037","Kittitas County, WA",41870
"cty27139","Scott County, MN",41867
"cty31183","Wheeler County, NE",41832
"cty55019","Clark County, WI",41800
"cty46029","Codington County, SD",41773
"cty27171","Wright County, MN",41767
"cty48389","Reeves County, TX",41751
"cty51107","Loudoun County, VA",41747
"cty20167","Russell County, KS",41732
"cty46023","Charles Mix County, SD",41729
"cty46031","Corson County, SD",41726
"cty48425","Somervell County, TX",41721
"cty31101","Keith County, NE",41704
"cty17067","Hancock County, IL",41695
"cty20163","Rooks County, KS",41691
"cty46135","Yankton County, SD",41635
"cty31019","Buffalo County, NE",41621
"cty31131","Otoe County, NE",41560
"cty19171","Tama County, IA",41557
"cty20031","Coffey County, KS",41533
"cty34019","Hunterdon County, NJ",41526
"cty19117","Lucas County, IA",41521
"cty40151","Woods County, OK",41507
"cty36059","Nassau County, NY",41503
"cty27009","Benton County, MN",41492
"cty56033","Sheridan County, WY",41487
"cty48483","Wheeler County, TX",41486
"cty19177","Van Buren County, IA",41480
"cty55015","Calumet County, WI",41455
"cty30017","Custer County, MT",41444
"cty16049","Idaho County, ID",41438
"cty27013","Blue Earth County, MN",41413
