"cty","Name","Household_Income_rP_gP_p25"
"cty20059","Franklin County, KS",33405
"cty19179","Wapello County, IA",33404
"cty21063","Elliott County, KY",33390
"cty53041","Lewis County, WA",33386
"cty17025","Clay County, IL",33384
"cty41045","Malheur County, OR",33384
"cty16075","Payette County, ID",33381
"cty33017","Strafford County, NH",33377
"cty33005","Cheshire County, NH",33376
"cty54069","Ohio County, WV",33373
"cty36073","Orleans County, NY",33372
"cty48477","Washington County, TX",33364
"cty18055","Greene County, IN",33363
"cty51051","Dickenson County, VA",33362
"cty51161","Roanoke County, VA",33358
"cty28073","Lamar County, MS",33357
"cty48473","Waller County, TX",33353
"cty48153","Floyd County, TX",33345
"cty36097","Schuyler County, NY",33342
"cty17017","Cass County, IL",33327
"cty20155","Reno County, KS",33322
"cty54067","Nicholas County, WV",33321
"cty16079","Shoshone County, ID",33313
"cty22087","St. Bernard Parish, LA",33312
"cty35023","Hidalgo County, NM",33310
"cty53071","Walla Walla County, WA",33308
"cty22097","St. Landry Parish, LA",33305
"cty39147","Seneca County, OH",33296
"cty48141","El Paso County, TX",33294
"cty39133","Portage County, OH",33294
"cty53021","Franklin County, WA",33294
"cty42133","York County, PA",33292
"cty29209","Stone County, MO",33292
"cty29029","Camden County, MO",33281
"cty33007","Coos County, NH",33280
"cty06033","Lake County, CA",33279
"cty26087","Lapeer County, MI",33279
"cty44007","Providence County, RI",33275
"cty29085","Hickory County, MO",33272
"cty29065","Dent County, MO",33259
"cty51167","Russell County, VA",33256
"cty40145","Wagoner County, OK",33255
"cty17113","McLean County, IL",33254
"cty48441","Taylor County, TX",33240
"cty18125","Pike County, IN",33223
"cty29179","Reynolds County, MO",33221
"cty48283","La Salle County, TX",33215
"cty26157","Tuscola County, MI",33214
"cty51678","Lexington city, VA",33208
"cty18049","Fulton County, IN",33194
"cty32001","Churchill County, NV",33187
"cty40127","Pushmataha County, OK",33185
"cty29017","Bollinger County, MO",33185
"cty36017","Chenango County, NY",33185
"cty41021","Gilliam County, OR",33179
"cty48049","Brown County, TX",33152
"cty40071","Kay County, OK",33147
"cty19057","Des Moines County, IA",33146
"cty29167","Polk County, MO",33145
"cty02122","Kenai Peninsula Borough, AK",33143
"cty48419","Shelby County, TX",33141
"cty40123","Pontotoc County, OK",33140
"cty36003","Allegany County, NY",33134
"cty18151","Steuben County, IN",33133
"cty17087","Johnson County, IL",33119
"cty36021","Columbia County, NY",33116
"cty53059","Skamania County, WA",33110
"cty20021","Cherokee County, KS",33107
"cty05097","Montgomery County, AR",33107
"cty24017","Charles County, MD",33099
"cty39161","Van Wert County, OH",33099
"cty22075","Plaquemines Parish, LA",33097
"cty26115","Monroe County, MI",33072
"cty36093","Schenectady County, NY",33066
"cty39005","Ashland County, OH",33064
"cty20175","Seward County, KS",33063
"cty36007","Broome County, NY",33063
"cty40063","Hughes County, OK",33059
"cty39165","Warren County, OH",33055
"cty48355","Nueces County, TX",33051
"cty18153","Sullivan County, IN",33050
"cty05109","Pike County, AR",33047
"cty16025","Camas County, ID",33036
"cty17045","Edgar County, IL",33027
"cty36061","New York County, NY",33025
"cty51061","Fauquier County, VA",33020
"cty01129","Washington County, AL",33004
"cty48201","Harris County, TX",33001
"cty48279","Lamb County, TX",33001
"cty40081","Lincoln County, OK",33000
"cty41025","Harney County, OR",32992
"cty19163","Scott County, IA",32982
"cty17057","Fulton County, IL",32977
"cty48489","Willacy County, TX",32976
"cty26101","Manistee County, MI",32969
"cty23011","Kennebec County, ME",32955
"cty39065","Hardin County, OH",32954
"cty39041","Delaware County, OH",32942
"cty29113","Lincoln County, MO",32936
"cty32029","Storey County, NV",32936
"cty05133","Sevier County, AR",32934
"cty26137","Otsego County, MI",32933
"cty41009","Columbia County, OR",32928
"cty51187","Warren County, VA",32926
"cty48363","Palo Pinto County, TX",32925
"cty05023","Cleburne County, AR",32921
"cty05105","Perry County, AR",32921
"cty06099","Stanislaus County, CA",32905
"cty39167","Washington County, OH",32898
"cty21171","Monroe County, KY",32892
"cty06007","Butte County, CA",32891
"cty47027","Clay County, TN",32890
"cty26007","Alpena County, MI",32887
"cty42121","Venango County, PA",32885
"cty39149","Shelby County, OH",32881
"cty18157","Tippecanoe County, IN",32880
"cty40097","Mayes County, OK",32873
"cty41053","Polk County, OR",32869
"cty05009","Boone County, AR",32862
"cty33001","Belknap County, NH",32855
"cty48407","San Jacinto County, TX",32852
"cty54057","Mineral County, WV",32850
"cty05121","Randolph County, AR",32849
"cty05049","Fulton County, AR",32846
"cty40147","Washington County, OK",32845
"cty35041","Roosevelt County, NM",32844
"cty54087","Roane County, WV",32842
"cty23013","Knox County, ME",32841
"cty48261","Kenedy County, TX",32839
"cty05127","Scott County, AR",32839
"cty51185","Tazewell County, VA",32837
"cty41015","Curry County, OR",32836
"cty41059","Umatilla County, OR",32833
"cty39077","Huron County, OH",32831
"cty50009","Essex County, VT",32826
"cty22043","Grant Parish, LA",32822
"cty21135","Lewis County, KY",32803
"cty09009","New Haven County, CT",32802
"cty54085","Ritchie County, WV",32794
"cty36011","Cayuga County, NY",32787
"cty41071","Yamhill County, OR",32786
"cty17005","Bond County, IL",32785
"cty30033","Garfield County, MT",32770
"cty36105","Sullivan County, NY",32766
"cty48479","Webb County, TX",32761
"cty48031","Blanco County, TX",32754
"cty36117","Wayne County, NY",32754
"cty36033","Franklin County, NY",32749
"cty54019","Fayette County, WV",32741
"cty53053","Pierce County, WA",32739
"cty29071","Franklin County, MO",32732
"cty12035","Flagler County, FL",32731
"cty48445","Terry County, TX",32728
"cty05117","Prairie County, AR",32726
"cty05047","Franklin County, AR",32726
"cty39171","Williams County, OH",32725
"cty48345","Motley County, TX",32724
"cty18031","Decatur County, IN",32722
"cty17181","Union County, IL",32716
"cty41033","Josephine County, OR",32713
"cty39063","Hancock County, OH",32704
"cty18029","Dearborn County, IN",32701
"cty22055","Lafayette Parish, LA",32699
"cty29141","Morgan County, MO",32692
"cty48373","Polk County, TX",32688
"cty06087","Santa Cruz County, CA",32688
"cty72047","Corozal Municipio, PR",32688
"cty48451","Tom Green County, TX",32684
"cty05135","Sharp County, AR",32681
"cty48035","Bosque County, TX",32671
"cty21001","Adair County, KY",32671
"cty53009","Clallam County, WA",32669
"cty53027","Grays Harbor County, WA",32666
"cty36045","Jefferson County, NY",32666
"cty23009","Hancock County, ME",32666
"cty29213","Taney County, MO",32663
"cty29215","Texas County, MO",32657
"cty36013","Chautauqua County, NY",32654
"cty12117","Seminole County, FL",32654
"cty18025","Crawford County, IN",32649
"cty13083","Dade County, GA",32648
"cty51145","Powhatan County, VA",32648
"cty39135","Preble County, OH",32643
"cty54075","Pocahontas County, WV",32639
"cty26045","Eaton County, MI",32636
"cty22103","St. Tammany Parish, LA",32629
"cty22115","Vernon Parish, LA",32624
"cty17007","Boone County, IL",32624
"cty39115","Morgan County, OH",32622
"cty54079","Putnam County, WV",32616
"cty48379","Rains County, TX",32614
"cty05013","Calhoun County, AR",32610
"cty18139","Rush County, IN",32606
"cty41035","Klamath County, OR",32602
"cty29229","Wright County, MO",32596
"cty29119","McDonald County, MO",32580
"cty51133","Northumberland County, VA",32580
"cty17097","Lake County, IL",32579
"cty23025","Somerset County, ME",32562
"cty21159","Martin County, KY",32552
"cty29109","Lawrence County, MO",32551
"cty26091","Lenawee County, MI",32539
"cty47103","Lincoln County, TN",32525
"cty26015","Barry County, MI",32522
"cty22009","Avoyelles Parish, LA",32512
"cty37189","Watauga County, NC",32510
"cty22021","Caldwell Parish, LA",32509
"cty12015","Charlotte County, FL",32504
"cty24001","Allegany County, MD",32503
"cty06115","Yuba County, CA",32500
"cty51069","Frederick County, VA",32500
"cty51119","Middlesex County, VA",32497
"cty29099","Jefferson County, MO",32495
"cty01117","Shelby County, AL",32495
"cty12085","Martin County, FL",32495
"cty34033","Salem County, NJ",32485
"cty25025","Suffolk County, MA",32484
"cty21057","Cumberland County, KY",32482
"cty30061","Mineral County, MT",32473
"cty40075","Kiowa County, OK",32465
"cty48119","Delta County, TX",32464
"cty02220","Sitka City and Borough, AK",32458
"cty06103","Tehama County, CA",32449
"cty29009","Barry County, MO",32447
"cty06069","San Benito County, CA",32446
"cty18011","Boone County, IN",32446
"cty37173","Swain County, NC",32432
"cty06071","San Bernardino County, CA",32432
"cty26059","Hillsdale County, MI",32430
"cty17151","Pope County, IL",32427
"cty05005","Baxter County, AR",32425
"cty48241","Jasper County, TX",32418
"cty48265","Kerr County, TX",32416
"cty23017","Oxford County, ME",32413
"cty21139","Livingston County, KY",32412
"cty48139","Ellis County, TX",32406
"cty15001","Hawaii County, HI",32406
"cty26009","Antrim County, MI",32405
"cty29117","Livingston County, MO",32390
"cty48485","Wichita County, TX",32387
"cty18133","Putnam County, IN",32384
"cty47181","Wayne County, TN",32382
"cty26133","Osceola County, MI",32381
"cty21053","Clinton County, KY",32371
"cty21059","Daviess County, KY",32370
"cty22099","St. Martin Parish, LA",32370
"cty47015","Cannon County, TN",32368
"cty17179","Tazewell County, IL",32368
"cty08105","Rio Grande County, CO",32367
"cty01029","Cleburne County, AL",32354
"cty20057","Ford County, KS",32352
"cty04003","Cochise County, AZ",32349
"cty16027","Canyon County, ID",32349
"cty20125","Montgomery County, KS",32346
"cty40013","Bryan County, OK",32322
"cty54031","Hardy County, WV",32322
"cty40065","Jackson County, OK",32320
"cty29035","Carter County, MO",32294
"cty47159","Smith County, TN",32292
"cty21223","Trimble County, KY",32291
"cty35055","Taos County, NM",32290
"cty55113","Sawyer County, WI",32283
"cty26129","Ogemaw County, MI",32281
"cty47039","Decatur County, TN",32280
"cty18107","Montgomery County, IN",32278
"cty48187","Guadalupe County, TX",32277
"cty35009","Curry County, NM",32277
"cty04009","Graham County, AZ",32274
"cty26073","Isabella County, MI",32273
"cty20001","Allen County, KS",32269
"cty41013","Crook County, OR",32263
"cty20055","Finney County, KS",32260
"cty48209","Hays County, TX",32259
"cty54091","Taylor County, WV",32256
"cty24041","Talbot County, MD",32250
"cty53003","Asotin County, WA",32247
"cty28019","Choctaw County, MS",32246
"cty40121","Pittsburg County, OK",32242
"cty21153","Magoffin County, KY",32233
"cty54043","Lincoln County, WV",32232
"cty48019","Bandera County, TX",32227
"cty37113","Macon County, NC",32224
"cty39117","Morrow County, OH",32223
"cty47007","Bledsoe County, TN",32223
"cty29127","Marion County, MO",32222
"cty42023","Cameron County, PA",32219
"cty05053","Grant County, AR",32218
"cty29073","Gasconade County, MO",32204
"cty47083","Houston County, TN",32193
"cty06077","San Joaquin County, CA",32192
"cty51685","Manassas Park city, VA",32191
"cty12021","Collier County, FL",32183
"cty29159","Pettis County, MO",32179
"cty17197","Will County, IL",32168
"cty21033","Caldwell County, KY",32165
"cty18159","Tipton County, IN",32157
"cty72005","Aguadilla Municipio, PR",32156
"cty26127","Oceana County, MI",32156
"cty21035","Calloway County, KY",32155
"cty47111","Macon County, TN",32132
"cty40115","Ottawa County, OK",32131
"cty08041","El Paso County, CO",32128
"cty24025","Harford County, MD",32119
"cty35007","Colfax County, NM",32110
"cty09003","Hartford County, CT",32109
"cty25003","Berkshire County, MA",32108
"cty39059","Guernsey County, OH",32105
"cty39029","Columbiana County, OH",32104
"cty18039","Elkhart County, IN",32101
"cty17161","Rock Island County, IL",32079
"cty41029","Jackson County, OR",32076
"cty17101","Lawrence County, IL",32076
"cty08003","Alamosa County, CO",32075
"cty12086","Miami-Dade County, FL",32073
"cty24003","Anne Arundel County, MD",32071
"cty26125","Oakland County, MI",32066
"cty06047","Merced County, CA",32065
"cty21107","Hopkins County, KY",32065
"cty18071","Jackson County, IN",32063
"cty18077","Jefferson County, IN",32060
"cty17077","Jackson County, IL",32059
"cty48213","Henderson County, TX",32054
"cty29013","Bates County, MO",32041
"cty21175","Morgan County, KY",32035
"cty01041","Crenshaw County, AL",32033
"cty54025","Greenbrier County, WV",32031
"cty26005","Allegan County, MI",32025
"cty26017","Bay County, MI",32022
"cty48107","Crosby County, TX",32019
"cty26105","Mason County, MI",32011
"cty39105","Meigs County, OH",32011
"cty05143","Washington County, AR",32008
"cty55001","Adams County, WI",32008
"cty51041","Chesterfield County, VA",32002
"cty48053","Burnet County, TX",31995
"cty06065","Riverside County, CA",31990
"cty13073","Columbia County, GA",31989
"cty38005","Benson County, ND",31981
"cty47161","Stewart County, TN",31979
"cty09011","New London County, CT",31976
"cty40113","Osage County, OK",31973
"cty29223","Wayne County, MO",31966
"cty40019","Carter County, OK",31965
"cty18081","Johnson County, IN",31965
"cty39109","Miami County, OH",31961
"cty23001","Androscoggin County, ME",31960
"cty21179","Nelson County, KY",31956
"cty36107","Tioga County, NY",31949
"cty53077","Yakima County, WA",31946
"cty24005","Baltimore County, MD",31943
"cty22049","Jackson Parish, LA",31940
"cty51009","Amherst County, VA",31929
"cty41039","Lane County, OR",31927
"cty48167","Galveston County, TX",31924
"cty36075","Oswego County, NY",31920
"cty26057","Gratiot County, MI",31919
"cty22025","Catahoula Parish, LA",31917
"cty21221","Trigg County, KY",31912
"cty05045","Faulkner County, AR",31907
"cty36035","Fulton County, NY",31889
"cty18135","Randolph County, IN",31882
"cty21099","Hart County, KY",31869
"cty18021","Clay County, IN",31867
"cty29131","Miller County, MO",31864
"cty38079","Rolette County, ND",31855
"cty18117","Orange County, IN",31851
"cty26001","Alcona County, MI",31850
"cty48455","Trinity County, TX",31848
"cty13103","Effingham County, GA",31835
"cty21031","Butler County, KY",31833
"cty42049","Erie County, PA",31831
"cty41019","Douglas County, OR",31831
"cty37199","Yancey County, NC",31815
"cty06021","Glenn County, CA",31813
"cty51163","Rockbridge County, VA",31810
"cty28141","Tishomingo County, MS",31807
"cty05063","Independence County, AR",31806
"cty17199","Williamson County, IL",31787
"cty48481","Wharton County, TX",31784
"cty05115","Pope County, AR",31782
"cty21015","Boone County, KY",31782
"cty36063","Niagara County, NY",31770
"cty51057","Essex County, VA",31770
"cty51031","Campbell County, VA",31769
"cty72111","Penuelas Municipio, PR",31767
"cty05021","Clay County, AR",31766
"cty40037","Creek County, OK",31761
"cty29161","Phelps County, MO",31760
"cty48129","Donley County, TX",31746
"cty48471","Walker County, TX",31743
"cty01027","Clay County, AL",31742
"cty08001","Adams County, CO",31738
"cty35017","Grant County, NM",31737
"cty05071","Johnson County, AR",31736
"cty18059","Hancock County, IN",31724
"cty18075","Jay County, IN",31719
"cty08025","Crowley County, CO",31710
"cty23019","Penobscot County, ME",31705
"cty40031","Comanche County, OK",31703
"cty24043","Washington County, MD",31701
"cty17137","Morgan County, IL",31697
"cty21083","Graves County, KY",31695
"cty05029","Conway County, AR",31694
"cty29207","Stoddard County, MO",31694
"cty26111","Midland County, MI",31693
"cty47165","Sumner County, TN",31692
"cty21009","Barren County, KY",31691
"cty26123","Newaygo County, MI",31691
"cty48067","Cass County, TX",31670
"cty08065","Lake County, CO",31659
"cty54083","Randolph County, WV",31658
"cty32019","Lyon County, NV",31656
"cty06053","Monterey County, CA",31632
"cty29019","Boone County, MO",31631
"cty01059","Franklin County, AL",31629
"cty22107","Tensas Parish, LA",31610
"cty01039","Covington County, AL",31609
"cty41011","Coos County, OR",31604
"cty26023","Branch County, MI",31592
"cty32031","Washoe County, NV",31588
"cty26135","Oscoda County, MI",31587
"cty48041","Brazos County, TX",31575
"cty35045","San Juan County, NM",31574
"cty32510","Carson City, NV",31573
"cty39031","Coshocton County, OH",31573
"cty51125","Nelson County, VA",31571
"cty51073","Gloucester County, VA",31570
"cty18033","DeKalb County, IN",31563
"cty51097","King and Queen County, VA",31562
"cty37053","Currituck County, NC",31546
"cty35005","Chaves County, NM",31544
"cty05089","Marion County, AR",31544
"cty48189","Hale County, TX",31538
"cty54059","Mingo County, WV",31532
"cty39045","Fairfield County, OH",31529
"cty41043","Linn County, OR",31528
"cty13177","Lee County, GA",31518
"cty26067","Ionia County, MI",31517
"cty51775","Salem city, VA",31513
"cty09015","Windham County, CT",31512
"cty01043","Cullman County, AL",31504
"cty22019","Calcasieu Parish, LA",31503
"cty25013","Hampden County, MA",31501
"cty48183","Gregg County, TX",31492
"cty48387","Red River County, TX",31491
"cty23027","Waldo County, ME",31486
"cty35013","Do±íáüna County, NM",31485
"cty39143","Sandusky County, OH",31479
"cty13281","Towns County, GA",31472
"cty18149","Starke County, IN",31471
"cty29125","Maries County, MO",31468
"cty51810","Virginia Beach city, VA",31455
"cty51177","Spotsylvania County, VA",31453
"cty04005","Coconino County, AZ",31448
"cty21217","Taylor County, KY",31447
"cty35057","Torrance County, NM",31441
"cty40091","McIntosh County, OK",31410
"cty32023","Nye County, NV",31407
"cty21093","Hardin County, KY",31405
"cty21011","Bath County, KY",31386
"cty48099","Coryell County, TX",31384
"cty17029","Coles County, IL",31373
"cty41051","Multnomah County, OR",31323
"cty37121","Mitchell County, NC",31319
"cty12115","Sarasota County, FL",31317
"cty13291","Union County, GA",31303
"cty17019","Champaign County, IL",31301
"cty54065","Morgan County, WV",31289
"cty48005","Angelina County, TX",31285
"cty54009","Brooke County, WV",31285
"cty21089","Greenup County, KY",31280
"cty36067","Onondaga County, NY",31275
"cty51840","Winchester city, VA",31272
"cty29097","Jasper County, MO",31265
"cty51139","Page County, VA",31263
"cty51121","Montgomery County, VA",31259
"cty54027","Hampshire County, WV",31258
"cty28129","Smith County, MS",31254
"cty06107","Tulare County, CA",31251
"cty21085","Grayson County, KY",31251
"cty39091","Logan County, OH",31240
"cty48311","McMullen County, TX",31228
"cty17095","Knox County, IL",31221
"cty51141","Patrick County, VA",31219
"cty26143","Roscommon County, MI",31212
"cty26031","Cheboygan County, MI",31210
"cty28077","Lawrence County, MS",31205
"cty21045","Casey County, KY",31202
"cty29031","Cape Girardeau County, MO",31201
"cty22093","St. James Parish, LA",31200
"cty17121","Marion County, IL",31198
"cty39021","Champaign County, OH",31197
"cty41041","Lincoln County, OR",31192
"cty48145","Falls County, TX",31191
"cty26051","Gladwin County, MI",31184
"cty48185","Grimes County, TX",31180
"cty47043","Dickson County, TN",31170
"cty35049","Santa Fe County, NM",31167
"cty01057","Fayette County, AL",31167
"cty51660","Harrisonburg city, VA",31166
"cty30003","Big Horn County, MT",31155
"cty40015","Caddo County, OK",31154
"cty51113","Madison County, VA",31150
"cty29105","Laclede County, MO",31149
"cty28111","Perry County, MS",31140
"cty21061","Edmonson County, KY",31130
"cty22051","Jefferson Parish, LA",31125
"cty48245","Jefferson County, TX",31124
"cty40041","Delaware County, OK",31118
"cty48147","Fannin County, TX",31118
"cty48313","Madison County, TX",31118
"cty29077","Greene County, MO",31113
"cty48055","Caldwell County, TX",31111
"cty40111","Okmulgee County, OK",31105
"cty26155","Shiawassee County, MI",31105
"cty26107","Mecosta County, MI",31101
"cty18175","Washington County, IN",31096
"cty21103","Henry County, KY",31094
"cty18103","Miami County, IN",31093
"cty47189","Wilson County, TN",31088
"cty21039","Carlisle County, KY",31081
"cty48181","Grayson County, TX",31079
"cty48423","Smith County, TX",31078
"cty06023","Humboldt County, CA",31076
"cty35037","Quay County, NM",31063
"cty17177","Stephenson County, IL",31060
"cty48343","Morris County, TX",31053
"cty28037","Franklin County, MS",31052
"cty26033","Chippewa County, MI",31044
"cty21029","Bullitt County, KY",31040
"cty54081","Raleigh County, WV",31038
"cty21141","Logan County, KY",31028
"cty26147","St. Clair County, MI",31027
"cty28155","Webster County, MS",31021
"cty29007","Audrain County, MO",31007
"cty21043","Carter County, KY",31004
"cty48439","Tarrant County, TX",31002
"cty39033","Crawford County, OH",31000
"cty17089","Kane County, IL",30989
"cty48021","Bastrop County, TX",30983
"cty01115","St. Clair County, AL",30978
"cty18023","Clinton County, IN",30974
"cty35035","Otero County, NM",30966
"cty26013","Baraga County, MI",30966
"cty39097","Madison County, OH",30963
"cty21163","Meade County, KY",30960
"cty02090","Fairbanks North Star Borough, AK",30951
"cty51137","Orange County, VA",30950
"cty37089","Henderson County, NC",30947
"cty48001","Anderson County, TX",30945
"cty31055","Douglas County, NE",30939
"cty35051","Sierra County, NM",30936
"cty28005","Amite County, MS",30932
"cty28045","Hancock County, MS",30931
"cty06045","Mendocino County, CA",30914
"cty26027","Cass County, MI",30910
"cty05083","Logan County, AR",30907
"cty22125","West Feliciana Parish, LA",30891
"cty21109","Jackson County, KY",30885
"cty05075","Lawrence County, AR",30872
"cty51019","Bedford County, VA",30872
"cty51005","Alleghany County, VA",30869
"cty51197","Wythe County, VA",30868
"cty04013","Maricopa County, AZ",30865
"cty37043","Clay County, NC",30857
"cty17119","Madison County, IL",30856
"cty48487","Wilbarger County, TX",30856
"cty54023","Grant County, WV",30853
"cty47021","Cheatham County, TN",30849
"cty48315","Marion County, TX",30825
"cty40089","McCurtain County, OK",30823
"cty13249","Schley County, GA",30822
"cty18145","Shelby County, IN",30815
"cty12049","Hardee County, FL",30813
"cty48305","Lynn County, TX",30805
"cty21005","Anderson County, KY",30801
"cty26035","Clare County, MI",30794
"cty08055","Huerfano County, CO",30788
"cty54089","Summers County, WV",30786
"cty29123","Madison County, MO",30778
"cty12091","Okaloosa County, FL",30777
"cty18017","Cass County, IN",30770
"cty40135","Sequoyah County, OK",30767
"cty41047","Marion County, OR",30767
"cty22127","Winn Parish, LA",30767
"cty47133","Overton County, TN",30766
"cty48029","Bexar County, TX",30765
"cty04015","Mohave County, AZ",30759
"cty39081","Jefferson County, OH",30748
"cty48293","Limestone County, TX",30747
"cty26085","Lake County, MI",30736
"cty21187","Owen County, KY",30733
"cty05065","Izard County, AR",30724
"cty21203","Rockcastle County, KY",30719
"cty26161","Washtenaw County, MI",30718
"cty36015","Chemung County, NY",30710
"cty37073","Gates County, NC",30706
"cty26019","Benzie County, MI",30702
"cty55105","Rock County, WI",30695
"cty01023","Choctaw County, AL",30694
"cty02261","Valdez-Cordova Census Area, AK",30690
"cty54005","Boone County, WV",30683
"cty26095","Luce County, MI",30678
"cty18013","Brown County, IN",30671
"cty54029","Hancock County, WV",30668
"cty51001","Accomack County, VA",30663
"cty29217","Vernon County, MO",30659
"cty23023","Sagadahoc County, ME",30653
"cty48073","Cherokee County, TX",30648
"cty01049","DeKalb County, AL",30642
"cty12059","Holmes County, FL",30637
"cty05019","Clark County, AR",30633
"cty51067","Franklin County, VA",30631
"cty01077","Lauderdale County, AL",30626
"cty22029","Concordia Parish, LA",30622
"cty28091","Marion County, MS",30612
"cty40125","Pottawatomie County, OK",30610
"cty05055","Greene County, AR",30610
"cty04007","Gila County, AZ",30609
"cty48351","Newton County, TX",30606
"cty40143","Tulsa County, OK",30604
"cty26029","Charlevoix County, MI",30603
"cty48217","Hill County, TX",30602
"cty22045","Iberia Parish, LA",30598
"cty48225","Houston County, TX",30594
"cty51103","Lancaster County, VA",30592
"cty17091","Kankakee County, IL",30590
"cty53045","Mason County, WA",30589
"cty05031","Craighead County, AR",30582
"cty02170","Matanuska-Susitna Borough, AK",30578
"cty48303","Lubbock County, TX",30562
"cty06031","Kings County, CA",30558
"cty37149","Polk County, NC",30546
"cty47031","Coffee County, TN",30546
"cty53015","Cowlitz County, WA",30541
"cty37011","Avery County, NC",30541
"cty39099","Mahoning County, OH",30541
"cty29195","Saline County, MO",30538
"cty48173","Glasscock County, TX",30535
"cty02130","Ketchikan Gateway Borough, AK",30534
"cty29225","Webster County, MO",30525
"cty28147","Walthall County, MS",30517
"cty40023","Choctaw County, OK",30511
"cty37005","Alleghany County, NC",30504
"cty21133","Letcher County, KY",30496
"cty47141","Putnam County, TN",30489
"cty12113","Santa Rosa County, FL",30488
"cty40133","Seminole County, OK",30487
"cty35019","Guadalupe County, NM",30480
"cty12011","Broward County, FL",30476
"cty48101","Cottle County, TX",30468
"cty47023","Chester County, TN",30457
"cty48203","Harrison County, TX",30453
"cty17081","Jefferson County, IL",30448
"cty01093","Marion County, AL",30446
"cty12017","Citrus County, FL",30441
"cty28109","Pearl River County, MS",30439
"cty47051","Franklin County, TN",30435
"cty37099","Jackson County, NC",30429
"cty39043","Erie County, OH",30427
"cty54045","Logan County, WV",30424
"cty39007","Ashtabula County, OH",30413
"cty28085","Lincoln County, MS",30403
"cty48395","Robertson County, TX",30389
"cty37029","Camden County, NC",30387
"cty01071","Jackson County, AL",30386
"cty47147","Robertson County, TN",30381
"cty48257","Kaufman County, TX",30370
"cty06015","Del Norte County, CA",30363
"cty51071","Giles County, VA",30357
"cty39015","Brown County, OH",30356
"cty05081","Little River County, AR",30341
"cty12097","Osceola County, FL",30332
"cty28121","Rankin County, MS",30326
"cty26149","St. Joseph County, MI",30326
"cty72013","Arecibo Municipio, PR",30319
"cty22101","St. Mary Parish, LA",30313
"cty28131","Stone County, MS",30312
"cty21195","Pike County, KY",30311
"cty39127","Perry County, OH",30300
"cty18079","Jennings County, IN",30295
"cty40021","Cherokee County, OK",30293
"cty54035","Jackson County, WV",30285
"cty21069","Fleming County, KY",30277
"cty29055","Crawford County, MO",30272
"cty51149","Prince George County, VA",30260
"cty06039","Madera County, CA",30259
"cty13085","Dawson County, GA",30257
"cty12053","Hernando County, FL",30243
"cty36055","Monroe County, NY",30239
"cty13067","Cobb County, GA",30239
"cty54107","Wood County, WV",30233
"cty34007","Camden County, NJ",30219
"cty39001","Adams County, OH",30187
"cty51159","Richmond County, VA",30185
"cty20173","Sedgwick County, KS",30184
"cty20103","Leavenworth County, KS",30184
"cty54099","Wayne County, WV",30174
"cty55101","Racine County, WI",30171
"cty47035","Cumberland County, TN",30171
"cty22041","Franklin Parish, LA",30166
"cty54053","Mason County, WV",30162
"cty29221","Washington County, MO",30161
"cty12109","St. Johns County, FL",30159
"cty22105","Tangipahoa Parish, LA",30156
"cty01009","Blount County, AL",30153
"cty06019","Fresno County, CA",30138
"cty39025","Clermont County, OH",30121
"cty51169","Scott County, VA",30114
"cty17125","Mason County, IL",30109
"cty29027","Callaway County, MO",30109
"cty41031","Jefferson County, OR",30107
"cty37087","Haywood County, NC",30106
"cty24047","Worcester County, MD",30094
"cty39089","Licking County, OH",30084
"cty30035","Glacier County, MT",30080
"cty51101","King William County, VA",30080
"cty05061","Howard County, AR",30072
"cty21227","Warren County, KY",30066
"cty39057","Greene County, OH",30058
"cty48231","Hunt County, TX",30054
"cty21129","Lee County, KY",30048
"cty13137","Habersham County, GA",30044
"cty48347","Nacogdoches County, TX",30040
"cty20177","Shawnee County, KS",30034
"cty48453","Travis County, TX",30031
"cty32021","Mineral County, NV",30030
"cty01061","Geneva County, AL",30029
"cty48349","Navarro County, TX",30021
"cty24015","Cecil County, MD",30017
"cty40109","Oklahoma County, OK",29997
"cty13049","Charlton County, GA",29987
"cty28153","Wayne County, MS",29983
"cty22047","Iberville Parish, LA",29979
"cty02020","Anchorage Municipality, AK",29977
"cty46085","Lyman County, SD",29975
"cty29169","Pulaski County, MO",29966
"cty36005","Bronx County, NY",29962
"cty47017","Carroll County, TN",29961
"cty05149","Yell County, AR",29958
"cty05033","Crawford County, AR",29950
"cty22027","Claiborne Parish, LA",29930
"cty21041","Carroll County, KY",29926
"cty26117","Montcalm County, MI",29924
"cty39155","Trumbull County, OH",29909
"cty51095","James City County, VA",29906
"cty21161","Mason County, KY",29899
"cty13029","Bryan County, GA",29897
"cty37183","Wake County, NC",29895
"cty54037","Jefferson County, WV",29886
"cty47071","Hardin County, TN",29875
"cty13119","Franklin County, GA",29872
"cty13111","Fannin County, GA",29869
"cty13187","Lumpkin County, GA",29854
"cty51007","Amelia County, VA",29843
"cty18109","Morgan County, IN",29843
"cty47061","Grundy County, TN",29841
"cty48327","Menard County, TX",29834
"cty01003","Baldwin County, AL",29832
"cty12099","Palm Beach County, FL",29831
"cty47085","Humphreys County, TN",29826
"cty48277","Lamar County, TX",29824
"cty28007","Attala County, MS",29824
"cty28031","Covington County, MS",29822
"cty26069","Iosco County, MI",29822
"cty18105","Monroe County, IN",29817
"cty39119","Muskingum County, OH",29805
